P LHS RHS
0.0002 [NNP] 'Wilcox'
0.0002 [NNP] 'Powers'
0.0002 [NNP] 'Signet'
0.0002 [NNP] 'Hayne'
0.0002 [NNP] 'Solihull'
0.0002 [NNP] 'Prize'
0.0002 [NNP] 'O'Loughlin'
0.0002 [NNP] 'Del'
0.0002 [NNP] 'Davenport'
0.0002 [NNP] 'Andrea'
0.0002 [NNP] 'Asian'
0.0002 [NNP] 'Messrs.'
0.0002 [NNP] 'Terrence'
0.0002 [NNP] 'Iran-Contra'
0.0002 [NNP] 'Enzor'
0.0002 [NNP] 'Marie'
0.0002 [NNP] 'Machines'
0.0002 [NNP] 'Britta'
0.0002 [NNP] 'SHAREDATA'
0.0002 [NNP] 'Lafite-Rothschild'
0.0002 [NNP] 'Convention'
0.0002 [NNP] 'VanSant'
0.0002 [NNP] 'Coconut'
0.0002 [NNP] 'Satrum'
0.0002 [NNP] 'Leighton'
0.0002 [NNP] 'Orrick'
0.0002 [NNP] 'Warsaw'
0.0002 [NNP] 'Karl'
0.0002 [NNP] 'ACQUISITION'
0.0002 [NNP] 'Don'
0.0002 [NNP] 'Treble'
0.0002 [NNP] 'Huxtable'
0.0002 [NNP] 'WTD'
0.0002 [NNP] 'G'
0.0002 [NNP] 'Charter'
0.0002 [NNP] 'Traficant'
0.0002 [NNP] 'Shangkun'
0.0002 [NNP] 'Bumkins'
0.0002 [NNP] 'Visa'
0.0002 [NNP] 'Federalist'
0.0002 [NNP] 'Gayle'
0.0002 [NNP] 'Sulaiman'
0.0002 [NNP] 'SDI'
0.0002 [NNP] 'Olson'
0.0002 [NNP] 'No-Smoking'
0.0002 [NNP] 'CAMPAIGN'
0.0002 [NNP] 'Trans'
0.0002 [NNP] 'Lefcourt'
0.0002 [NNP] 'US'
0.0002 [NNP] 'Pennview'
0.0002 [NNP] 'Garry'
0.0002 [NNP] 'Heiwado'
0.0002 [NNP] 'Marina'
0.0002 [NNP] 'Alexander'
0.0002 [NNP] 'Baim'
0.0002 [NNP] 'Gorbachev'
0.0002 [NNP] 'Claude'
0.0002 [NNP] 'Desai'
0.0002 [NNP] 'Dell'
0.0002 [NNP] 'Green'
0.0002 [NNP] 'Hospital'
0.0002 [NNP] 'Foods'
0.0002 [NNP] 'Warner'
0.0002 [NNP] 'Strother'
0.0002 [NNP] 'S.p'
0.0002 [NNP] 'Hamilton'
0.0002 [NNP] 'Univest'
0.0002 [NNP] 'Greenwich'
0.0002 [NNP] 'Dean'
0.0002 [NNP] 'Soho'
0.0002 [NNP] 'Spence'
0.0002 [NNP] 'Ilminster'
0.0002 [NNP] 'Portugal'
0.0002 [NNP] 'Wadsworth'
0.0002 [NNP] 'Jaguar'
0.0002 [NNP] 'Bonnell'
0.0002 [NNP] 'Miles'
0.0002 [NNP] 'Springfield'
0.0002 [NNP] 'Harvard'
0.0002 [NNP] 'Lt.'
0.0002 [NNP] 'Rogers'
0.0002 [NNP] 'Family'
0.0002 [NNP] 'Place'
0.0002 [NNP] 'A.D.'
0.0002 [NNP] 'Borough'
0.0002 [NNP] 'Kawasaki'
0.0002 [NNP] 'Huntsville'
0.0002 [NNP] 'Ancient'
0.0002 [NNP] 'Times-Stock'
0.0002 [NNP] 'Hammerton'
0.0002 [NNP] 'Breeden'
0.0002 [NNP] 'Landonne'
0.0002 [NNP] 'Z.'
0.0002 [NNP] 'ASSOCIATION'
0.0002 [NNP] 'LSI'
0.0002 [NNP] 'Memphis'
0.0002 [NNP] 'Automobile'
0.0002 [NNP] 'Graduate'
0.0002 [NNP] 'Wheeland'
0.0002 [NNP] 'Beige'
0.0002 [NNP] 'Michigan'
0.0002 [NNP] 'Sol'
0.0002 [NNP] 'Monitor'
0.0002 [NNP] 'Carbide'
0.0002 [NNP] 'Factory'
0.0002 [NNP] 'Yasser'
0.0002 [NNP] 'Brent'
0.0002 [NNP] 'Circulations'
0.0002 [NNP] 'Corton-Charlemagne'
0.0002 [NNP] 'Orlando'
0.0002 [NNP] 'Xiaoping'
0.0002 [NNP] 'DOONESBURY'
0.0002 [NNP] 'Mercer'
0.0002 [NNP] 'Sotheby'
0.0002 [NNP] 'Sandberg'
0.0002 [NNP] 'Fulbright'
0.0002 [NNP] 'Us'
0.0002 [NNP] 'Salty'
0.0002 [NNP] 'Koizumi'
0.0002 [NNP] 'Rhone'
0.0002 [NNP] 'Revolution'
0.0002 [NNP] 'Spiro'
0.0002 [NNP] 'Haruki'
0.0002 [NNP] 'Banks'
0.0002 [NNP] 'Napa'
0.0002 [NNP] 'Guigal'
0.0002 [NNP] 'None'
0.0002 [NNP] 'Haut-Brion'
0.0002 [NNP] 'Debt'
0.0002 [NNP] 'Maine'
0.0002 [NNP] 'Solaia'
0.0002 [NNP] 'COMMUNICATIONS'
0.0002 [NNP] 'Jackson'
0.0002 [NNP] 'Integra-A'
0.0002 [NNP] 'Avrett'
0.0002 [NNP] 'Hans'
0.0002 [NNP] 'Derek'
0.0002 [NNP] 'INTERPUBLIC'
0.0002 [NNP] 'Glass'
0.0002 [NNP] 'Peninsula'
0.0002 [NNP] 'Logic'
0.0002 [NNP] 'Laser'
0.0002 [NNP] 'Express-Buick'
0.0002 [NNP] 'Marchese'
0.0002 [NNP] 'Plantation'
0.0002 [NNP] 'Squier'
0.0002 [NNP] 'Bellows'
0.0002 [NNP] 'Cru'
0.0002 [NNP] 'Merrick'
0.0002 [NNP] 'Tandy'
0.0002 [NNP] 'Ian'
0.0002 [NNP] 'Hoffman'
0.0002 [NNP] 'God'
0.0002 [NNP] 'Clark'
0.0002 [NNP] 'Antitrust'
0.0002 [NNP] 'Doerflinger'
0.0002 [NNP] 'Mara'
0.0002 [NNP] 'Photography'
0.0002 [NNP] 'Zuckerman'
0.0002 [NNP] 'Huntington'
0.0002 [NNP] 'Preston'
0.0002 [NNP] 'Shelby'
0.0002 [NNP] 'Wamre'
0.0002 [NNP] 'Restaurant'
0.0002 [NNP] 'Grand'
0.0002 [NNP] 'Berger'
0.0002 [NNP] 'mid-October'
0.0002 [NNP] 'Signore'
0.0002 [NNP] 'Rubinfien'
0.0002 [NNP] 'Nature'
0.0002 [NNP] 'Rate'
0.0002 [NNP] 'Altair'
0.0002 [NNP] 'LYNCH'
0.0002 [NNP] 'Tube'
0.0002 [NNP] 'Bates'
0.0002 [NNP] 'Regulatory'
0.0002 [NNP] 'Louisiana'
0.0002 [NNP] 'CORP'
0.0002 [NNP] 'Pate'
0.0002 [NNP] 'Schwab'
0.0002 [NNP] 'Clara'
0.0002 [NNP] 'Chardonnay'
0.0002 [NNP] 'Sangyo'
0.0002 [NNP] 'W.D.'
0.0002 [NNP] 'Separately'
0.0002 [NNP] 'Marine'
0.0002 [NNP] 'Shrum'
0.0002 [NNP] 'Joni'
0.0002 [NNP] 'Brunswick'
0.0002 [NNP] 'Hallett'
0.0002 [NNP] 'Groton'
0.0002 [NNP] 'PLO'
0.0002 [NNP] 'Deborah'
0.0002 [NNP] 'Sr.'
0.0002 [NNP] 'Manfred'
0.0002 [NNP] 'Organizations'
0.0002 [NNP] 'Pa'
0.0002 [NNP] 'Strait'
0.0002 [NNP] 'Club'
0.0002 [NNP] 'Grandsire'
0.0002 [NNP] 'Harpo'
0.0002 [NNP] 'Lezovich'
0.0002 [NNP] 'Section'
0.0002 [NNP] 'Impediments'
0.0002 [NNP] 'Hazell'
0.0002 [NNP] 'Rill'
0.0002 [NNP] 'Polytechnic'
0.0002 [NNP] 'Regal'
0.0002 [NNP] 'Danube'
0.0002 [NNP] 'Warrenton'
0.0002 [NNP] 'SALT'
0.0002 [NNP] 'A.C.'
0.0002 [NNP] 'Mikhail'
0.0002 [NNP] 'Dugdale'
0.0002 [NNP] 'Arafat'
0.0002 [NNP] 'Chuck'
0.0002 [NNP] 'Whip'
0.0002 [NNP] 'Si'
0.0002 [NNP] 'Tribune'
0.0002 [NNP] 'Herald-American'
0.0002 [NNP] 'Norwest'
0.0002 [NNP] 'News-American'
0.0002 [NNP] 'AG'
0.0002 [NNP] 'Sigmund'
0.0002 [NNP] 'Farren'
0.0002 [NNP] 'Marty'
0.0002 [NNP] 'Mattress'
0.0002 [NNP] 'E.C.'
0.0002 [NNP] 'Bells'
0.0002 [NNP] 'Dreyfus'
0.0002 [NNP] 'Rolling'
0.0002 [NNP] 'Dana-Farber'
0.0002 [NNP] 'Weatherly'
0.0002 [NNP] 'Dogs'
0.0002 [NNP] 'Longwood'
0.0002 [NNP] 'Miklos'
0.0002 [NNP] 'Meinders'
0.0002 [NNP] 'Deere'
0.0002 [NNP] 'Lighthouse'
0.0002 [NNP] 'Advance'
0.0002 [NNP] 'Steelworkers'
0.0002 [NNP] 'Huber'
0.0002 [NNP] 'Huppert'
0.0002 [NNP] 'Republican'
0.0002 [NNP] 'Myron'
0.0002 [NNP] 'Phi'
0.0002 [NNP] 'Angier'
0.0002 [NNP] 'Operations'
0.0002 [NNP] 'Netherlands'
0.0002 [NNP] 'Handelsbanken'
0.0002 [NNP] 'Ind.'
0.0002 [NNP] 'Stirlen'
0.0002 [NNP] 'Mifflin'
0.0002 [NNP] 'Barclays'
0.0002 [NNP] 'Spanish'
0.0002 [NNP] 'Tokio'
0.0002 [NNP] 'Mexican'
0.0002 [NNP] 'Mrs'
0.0002 [NNP] 'Trojan'
0.0002 [NNP] 'Corn'
0.0002 [NNP] 'Morrell'
0.0002 [NNP] 'Ichiro'
0.0002 [NNP] 'Kensington'
0.0002 [NNP] 'Napolitan'
0.0002 [NNP] 'Berson'
0.0002 [NNP] 'Schmidt'
0.0002 [NNP] 'Manufacturers'
0.0002 [NNP] 'Legend'
0.0002 [NNP] 'Brooks'
0.0002 [NNP] 'Purchase'
0.0002 [NNP] 'Unico'
0.0002 [NNP] 'Constitutional'
0.0002 [NNP] 'HOME'
0.0002 [NNP] 'Zayed'
0.0002 [NNP] 'Bridgestone\/Firestone'
0.0002 [NNP] 'Fuji'
0.0002 [NNP] 'Plains'
0.0002 [NNP] 'Gordon'
0.0002 [NNP] 'Dick'
0.0002 [NNP] 'Pencil'
0.0002 [NNP] 'Shores'
0.0002 [NNP] 'Tatsunori'
0.0002 [NNP] 'Crash'
0.0002 [NNP] 'Grant'
0.0002 [NNP] 'Alzheimer'
0.0002 [NNP] 'Television'
0.0002 [NNP] 'Lauderhill'
0.0002 [NNP] 'Russo'
0.0002 [NNP] 'Criticism'
0.0002 [NNP] 'Upham'
0.0002 [NNP] 'Ark'
0.0002 [NNP] 'Barbara'
0.0002 [NNP] 'Nobel'
0.0002 [NNP] 'Economy'
0.0002 [NNP] 'W.N.'
0.0002 [NNP] 'Frances'
0.0002 [NNP] 'Sutcliffe'
0.0002 [NNP] 'Cooper'
0.0002 [NNP] 'Dodger'
0.0002 [NNP] 'Cosmopolitan'
0.0002 [NNP] 'Woodrow'
0.0002 [NNP] 'Bangkok'
0.0002 [NNP] 'Sebastian'
0.0002 [NNP] 'Team'
0.0002 [NNP] 'Schweiz'
0.0002 [NNP] 'Psychiatry'
0.0002 [NNP] 'Steve'
0.0002 [NNP] 'Lorenzo'
0.0002 [NNP] 'the'
0.0002 [NNP] 'Reddington'
0.0002 [NNP] 'Initiative'
0.0002 [NNP] 'Colonsville'
0.0002 [NNP] 'Pharaoh'
0.0002 [NNP] 'Resistance'
0.0002 [NNP] 'Stephens'
0.0002 [NNP] 'CTB'
0.0002 [NNP] 'Second'
0.0002 [NNP] 'Nielsen'
0.0002 [NNP] 'N.H.'
0.0002 [NNP] 'Dale'
0.0002 [NNP] 'Moon'
0.0002 [NNP] 'Scotia'
0.0002 [NNP] 'Homeless'
0.0002 [NNP] 'YWCA'
0.0002 [NNP] 'Landor'
0.0002 [NNP] 'Giraud'
0.0002 [NNP] 'Stockholm'
0.0002 [NNP] 'Chile'
0.0002 [NNP] 'Najarian'
0.0002 [NNP] 'Pitcher'
0.0002 [NNP] 'Columbus'
0.0002 [NNP] 'Manchester'
0.0002 [NNP] 'NATIONAL'
0.0002 [NNP] 'Northampton'
0.0002 [NNP] 'Walkman'
0.0002 [NNP] 'Macheski'
0.0002 [NNP] 'PTA'
0.0002 [NNP] 'Palmer'
0.0002 [NNP] 'Review'
0.0002 [NNP] 'Simeon'
0.0002 [NNP] 'YMCA'
0.0002 [NNP] 'Bermuda'
0.0002 [NNP] 'Smelting'
0.0002 [NNP] 'Dolan'
0.0002 [NNP] 'non-U.S.'
0.0002 [NNP] 'Mogavero'
0.0002 [NNP] 'Mac'
0.0002 [NNP] 'Citibank'
0.0002 [NNP] 'Assistant'
0.0002 [NNP] 'Citizen'
0.0002 [NNP] 'Salvador'
0.0002 [NNP] 'Shuxian'
0.0002 [NNP] 'Babcock'
0.0002 [NNP] 'Du'
0.0002 [NNP] 'Metropolitan'
0.0002 [NNP] 'Ringing'
0.0002 [NNP] 'Barfield'
0.0002 [NNP] 'Suisse'
0.0002 [NNP] 'Pet'
0.0002 [NNP] 'Olympia'
0.0002 [NNP] 'Ensrud'
0.0002 [NNP] 'Houghton'
0.0002 [NNP] 'Pty.'
0.0002 [NNP] 'Joel'
0.0002 [NNP] 'N.'
0.0002 [NNP] 'Professional'
0.0002 [NNP] 'ON'
0.0002 [NNP] 'Ky.'
0.0002 [NNP] 'TEXAS'
0.0002 [NNP] 'FreudToy'
0.0002 [NNP] 'Blanchard'
0.0002 [NNP] 'Century'
0.0002 [NNP] 'Gardner'
0.0002 [NNP] 'Federation'
0.0002 [NNP] 'Yamaichi'
0.0002 [NNP] 'Book'
0.0002 [NNP] 'Petersburg'
0.0002 [NNP] 'Morrison'
0.0002 [NNP] 'Norwick'
0.0002 [NNP] 'TRS-80'
0.0002 [NNP] 'Sheffield'
0.0002 [NNP] 'Veselich'
0.0002 [NNP] 'Sauvignon'
0.0002 [NNP] 'Electronics'
0.0002 [NNP] 'Ranieri'
0.0002 [NNP] 'Jenkins'
0.0002 [NNP] 'Hoosier'
0.0002 [NNP] 'Rae'
0.0002 [NNP] 'Budget'
0.0002 [NNP] 'Senior'
0.0002 [NNP] 'Gross'
0.0002 [NNP] 'Chandler'
0.0002 [NNP] 'Aktiebolaget'
0.0002 [NNP] 'Joanne'
0.0002 [NNP] 'Circulation'
0.0002 [NNP] 'Wash.'
0.0002 [NNP] 'Hammacher'
0.0002 [NNP] 'Saitama'
0.0002 [NNP] 'Freud'
0.0002 [NNP] 'Trustco'
0.0002 [NNP] 'Garanti'
0.0002 [NNP] 'Ridgefield'
0.0002 [NNP] 'Edwin'
0.0002 [NNP] 'Milne'
0.0002 [NNP] 'Mather'
0.0002 [NNP] 'Rozell'
0.0002 [NNP] 'Al'
0.0002 [NNP] 'Fred'
0.0002 [NNP] 'Brian'
0.0002 [NNP] 'Pretty'
0.0002 [NNP] 'Tulane'
0.0002 [NNP] 'Population'
0.0002 [NNP] 'Traded'
0.0002 [NNP] 'Clinton'
0.0002 [NNP] 'Odyssey'
0.0002 [NNP] 'Schlemmer'
0.0002 [NNP] 'Bon'
0.0002 [NNP] 'Publishers'
0.0002 [NNP] 'Mona'
0.0002 [NNP] 'Fargo'
0.0002 [NNP] 'Alurralde'
0.0002 [NNP] 'Rockwell'
0.0002 [NNP] 'Income'
0.0002 [NNP] 'Henderson'
0.0002 [NNP] 'FERC'
0.0002 [NNP] 'Camille'
0.0002 [NNP] 'Kelli'
0.0002 [NNP] 'Northy'
0.0002 [NNP] 'Marietta'
0.0002 [NNP] 'Australian'
0.0002 [NNP] 'Goldinger'
0.0002 [NNP] 'Cullowhee'
0.0002 [NNP] 'INS'
0.0002 [NNP] 'Negus'
0.0002 [NNP] 'Lazzaroni'
0.0002 [NNP] 'Terrace'
0.0002 [NNP] 'Social'
0.0002 [NNP] 'Tourism'
0.0002 [NNP] 'Premier'
0.0002 [NNP] 'Ana'
0.0002 [NNP] 'Ray'
0.0002 [NNP] 'Bolivia'
0.0002 [NNP] 'ASLACTON'
0.0002 [NNP] 'Long'
0.0002 [NNP] 'Rey\/Fawcett'
0.0002 [NNP] 'Pont'
0.0002 [NNP] 'Assurance'
0.0002 [NNP] 'Cedric'
0.0002 [NNP] 'Honolulu'
0.0002 [NNP] 'Haven'
0.0002 [NNP] 'Troubled'
0.0002 [NNP] 'Post'
0.0002 [NNP] 'Piero'
0.0002 [NNP] 'Kuhns'
0.0002 [NNP] 'Dompierre'
0.0002 [NNP] 'Different'
0.0002 [NNP] 'S.I.'
0.0002 [NNP] 'Caters'
0.0002 [NNP] 'Alliance'
0.0002 [NNP] 'Donoghue'
0.0002 [NNP] 'Ketchum'
0.0002 [NNP] 'WFRR'
0.0002 [NNP] 'Gingl'
0.0002 [NNP] 'Xerox'
0.0002 [NNP] 'READY'
0.0002 [NNP] 'Home'
0.0002 [NNP] 'Hopkins'
0.0002 [NNP] 'Phillips'
0.0002 [NNP] 'Rev.'
0.0002 [NNP] 'Relations'
0.0002 [NNP] 'Westborough'
0.0002 [NNP] 'Marge'
0.0002 [NNP] 'Peck'
0.0002 [NNP] 'Mayland'
0.0002 [NNP] 'Monchecourt'
0.0002 [NNP] 'Ga.'
0.0002 [NNP] 'Perignon'
0.0002 [NNP] 'Hart-Scott-Rodino'
0.0002 [NNP] 'Sandra'
0.0002 [NNP] 'EC'
0.0002 [NNP] 'Colony'
0.0002 [NNP] 'Floyd'
0.0002 [NNP] 'Roof'
0.0002 [NNP] 'Fire'
0.0002 [NNP] 'Landis'
0.0002 [NNP] 'Harcourt'
0.0002 [NNP] 'Spillane'
0.0002 [NNP] 'Legal'
0.0002 [NNP] 'Lowe'
0.0002 [NNP] 'Default'
0.0002 [NNP] 'Advice'
0.0002 [NNP] 'Seagate'
0.0002 [NNP] 'Rexinger'
0.0002 [NNP] 'Youths'
0.0002 [NNP] 'Exxon'
0.0002 [NNP] 'Tarwhine'
0.0002 [NNP] 'Prater'
0.0002 [NNP] 'Ed'
0.0002 [NNP] 'Bowl'
0.0002 [NNP] 'Denver'
0.0002 [NNP] 'Publications'
0.0002 [NNP] 'Inventor'
0.0002 [NNP] 'Jacksonville'
0.0002 [NNP] 'Chiodo'
0.0002 [NNP] 'Cup-Tote'
0.0002 [NNP] 'Legg'
0.0002 [NNP] 'Alstyne'
0.0002 [NNP] 'Andy'
0.0002 [NNP] 'Grgich'
0.0002 [NNP] 'Sabhavasu'
0.0002 [NNP] 'Persky'
0.0002 [NNP] 'Emile'
0.0002 [NNP] 'Redevelopment'
0.0002 [NNP] 'Samuel'
0.0002 [NNP] 'ChemPlus'
0.0002 [NNP] 'Osborn'
0.0002 [NNP] 'Allergan'
0.0002 [NNP] 'Allied'
0.0002 [NNP] 'Stork'
0.0002 [NNP] 'Bramalea'
0.0002 [NNP] 'Buckhead'
0.0002 [NNP] 'Raleigh'
0.0002 [NNP] 'C.J.B.'
0.0002 [NNP] 'Sweden'
0.0002 [NNP] 'Dill'
0.0002 [NNP] 'Riserva'
0.0002 [NNP] 'Internal'
0.0002 [NNP] 'Liberation'
0.0002 [NNP] 'Taittinger'
0.0002 [NNP] 'Rita'
0.0002 [NNP] 'USA'
0.0002 [NNP] 'Parkinson'
0.0002 [NNP] 'York-based'
0.0002 [NNP] 'Burnham'
0.0002 [NNP] 'Environment'
0.0002 [NNP] 'CEO'
0.0002 [NNP] 'Roosevelt'
0.0002 [NNP] 'Elisa'
0.0002 [NNP] 'Sandifer'
0.0002 [NNP] 'Anderson'
0.0002 [NNP] 'Judicial'
0.0002 [NNP] 'Collector'
0.0002 [NNP] 'Menem'
0.0002 [NNP] 'Cluff'
0.0002 [NNP] 'Nestor'
0.0002 [NNP] 'Estates'
0.0002 [NNP] 'Revenue'
0.0002 [NNP] 'Md.'
0.0002 [NNP] 'Lobo'
0.0002 [NNP] 'Alysia'
0.0002 [NNP] 'Acquisition'
0.0002 [NNP] 'Broadcasting'
0.0002 [NNP] 'Van'
0.0002 [NNP] 'Cerf'
0.0002 [NNP] 'Systems'
0.0002 [NNP] 'Jobs'
0.0002 [NNP] 'Rabia'
0.0002 [NNP] 'Insight'
0.0002 [NNP] 'Bew'
0.0002 [NNP] 'India'
0.0002 [NNP] 'Cougar'
0.0002 [NNP] 'El'
0.0002 [NNP] 'Carney'
0.0002 [NNP] 'Disease'
0.0002 [NNP] 'Yorker'
0.0002 [NNP] 'Barbaresco'
0.0002 [NNP] 'Muscolina'
0.0002 [NNP] 'Arizona'
0.0002 [NNP] 'Prebon'
0.0002 [NNP] 'Mount'
0.0002 [NNP] 'Deryck'
0.0002 [NNP] 'DISCOUNT'
0.0002 [NNP] 'Skokie'
0.0002 [NNP] 'Baris'
0.0002 [NNP] 'Gaja'
0.0002 [NNP] 'Maytag'
0.0002 [NNP] 'Blackstone'
0.0002 [NNP] 'Isabelle'
0.0002 [NNP] 'Minn.'
0.0002 [NNP] 'Doak'
0.0002 [NNP] 'Hurley'
0.0002 [NNP] 'Norwalk'
0.0002 [NNP] 'Comprehensive'
0.0002 [NNP] 'R.I.'
0.0002 [NNP] 'Monticello'
0.0002 [NNP] 'Luce'
0.0002 [NNP] 'Adams'
0.0002 [NNP] 'Village'
0.0002 [NNP] 'TRANSPLANT'
0.0002 [NNP] 'Jefferson'
0.0002 [NNP] 'Hawke'
0.0002 [NNP] 'NRDC'
0.0002 [NNP] 'Raul'
0.0002 [NNP] 'Ruth'
0.0002 [NNP] 'Bunny'
0.0002 [NNP] 'Tip'
0.0002 [NNP] 'Newspapers'
0.0002 [NNP] 'Bentsen'
0.0002 [NNP] 'Malizia'
0.0002 [NNP] 'Lizhi'
0.0002 [NNP] 'Elmhurst'
0.0002 [NNP] 'F.H.'
0.0002 [NNP] 'Rothschild'
0.0002 [NNP] 'Rubber'
0.0002 [NNP] 'Betting'
0.0002 [NNP] 'R.D.'
0.0002 [NNP] 'Funny'
0.0002 [NNP] 'Wickliffe'
0.0002 [NNP] 'FAX'
0.0002 [NNP] 'Bendectin'
0.0002 [NNP] 'Groucho'
0.0002 [NNP] 'Eagleton'
0.0002 [NNP] 'Patrick'
0.0002 [NNP] 'L.A.'
0.0002 [NNP] 'Speedway'
0.0002 [NNP] 'Midvale'
0.0002 [NNP] 'Hitachi'
0.0002 [NNP] 'Tailors'
0.0002 [NNP] 'Bennett'
0.0002 [NNP] 'Elisabeth'
0.0002 [NNP] 'Rey'
0.0002 [NNP] 'Elsevier'
0.0002 [NNP] 'Bowes'
0.0002 [NNP] 'Garret'
0.0002 [NNP] 'Edge'
0.0002 [NNP] 'LANDOR'
0.0002 [NNP] 'Scholastic'
0.0002 [NNP] 'Carballo'
0.0002 [NNP] 'Vermont'
0.0002 [NNP] 'Elliott'
0.0002 [NNP] 'Housing'
0.0002 [NNP] 'Intecknings'
0.0002 [NNP] 'Wohlstetter'
0.0002 [NNP] 'Earle'
0.0002 [NNP] 'Mo.'
0.0002 [NNP] 'Wayland'
0.0002 [NNP] 'Island'
0.0002 [NNP] 'Major'
0.0002 [NNP] 'Christie'
0.0002 [NNP] 'Ames'
0.0002 [NNP] 'PRODUCTS'
0.0002 [NNP] 'Landrieu'
0.0002 [NNP] 'Coors'
0.0002 [NNP] 'Russel'
0.0002 [NNP] 'Pepperdine'
0.0002 [NNP] 'Anglia'
0.0002 [NNP] 'Sprint'
0.0002 [NNP] 'Osaka'
0.0002 [NNP] 'Hubbard'
0.0002 [NNP] 'Enright'
0.0002 [NNP] 'Freddie'
0.0002 [NNP] 'Marder'
0.0002 [NNP] 'Broken'
0.0002 [NNP] 'Swearingen'
0.0002 [NNP] 'Jihad'
0.0002 [NNP] 'NESB'
0.0002 [NNP] 'Orchestra'
0.0002 [NNP] 'Office'
0.0002 [NNP] 'Brownstein'
0.0002 [NNP] 'Fortune'
0.0002 [NNP] 'Deng'
0.0002 [NNP] 'Pasadena'
0.0002 [NNP] 'Growth'
0.0002 [NNP] 'Noriega'
0.0002 [NNP] 'Laura'
0.0002 [NNP] 'Utah'
0.0002 [NNP] 'Pace'
0.0002 [NNP] 'Fulton'
0.0002 [NNP] 'Fellowship'
0.0002 [NNP] 'Champion'
0.0002 [NNP] 'Del.'
0.0002 [NNP] 'Sanderoff'
0.0002 [NNP] 'Partnership'
0.0002 [NNP] 'Hara'
0.0002 [NNP] 'Division'
0.0002 [NNP] 'Seattle'
0.0002 [NNP] 'Mont'
0.0002 [NNP] 'Wu'
0.0002 [NNP] 'N.Y'
0.0002 [NNP] 'Guinea'
0.0002 [NNP] 'Clemens'
0.0001 [NNP] '<unk>'
0.0172 [NNS] 'years'
0.0107 [NNS] 'funds'
0.0093 [NNS] 'prices'
0.0093 [NNS] 'companies'
0.0087 [NNS] 'investors'
0.0087 [NNS] 'shares'
0.0082 [NNS] 'stocks'
0.0082 [NNS] 'days'
0.0078 [NNS] 'people'
0.0077 [NNS] 'banks'
0.0073 [NNS] 'rates'
0.0072 [NNS] 'sales'
0.007 [NNS] 'months'
0.0068 [NNS] 'markets'
0.0068 [NNS] 'futures'
0.0063 [NNS] 'traders'
0.006 [NNS] 'managers'
0.0058 [NNS] 'officials'
0.0057 [NNS] 'firms'
0.0055 [NNS] 'bonds'
0.0053 [NNS] 'students'
0.0047 [NNS] 'securities'
0.0045 [NNS] 'products'
0.0043 [NNS] 'cents'
0.0042 [NNS] 'issues'
0.0042 [NNS] 'appropriations'
0.004 [NNS] 'notes'
0.004 [NNS] 'members'
0.0038 [NNS] 'customers'
0.0038 [NNS] 'cases'
0.0037 [NNS] 'questions'
0.0037 [NNS] 'countries'
0.0037 [NNS] 'ringers'
0.0037 [NNS] 'transactions'
0.0035 [NNS] 'dividends'
0.0035 [NNS] 'orders'
0.0033 [NNS] 'bells'
0.0033 [NNS] 'fees'
0.0033 [NNS] 'earnings'
0.0033 [NNS] 'problems'
0.0032 [NNS] 'clients'
0.0032 [NNS] 'weeks'
0.003 [NNS] 'services'
0.0028 [NNS] 'programs'
0.0028 [NNS] 'cars'
0.0028 [NNS] 'dollars'
0.0028 [NNS] 'rights'
0.0028 [NNS] 'tests'
0.0027 [NNS] 'institutions'
0.0027 [NNS] 'operations'
0.0027 [NNS] 'trades'
0.0027 [NNS] 'workers'
0.0027 [NNS] 'payments'
0.0027 [NNS] 'bills'
0.0025 [NNS] 'materials'
0.0025 [NNS] 'trucks'
0.0025 [NNS] 'nations'
0.0025 [NNS] 'women'
0.0025 [NNS] 'points'
0.0025 [NNS] 'changes'
0.0025 [NNS] 'talks'
0.0025 [NNS] 'yen'
0.0025 [NNS] 'analysts'
0.0025 [NNS] 'wines'
0.0023 [NNS] 'investments'
0.0023 [NNS] 'costs'
0.0023 [NNS] 'things'
0.0023 [NNS] 'contracts'
0.0023 [NNS] 'executives'
0.0023 [NNS] 'others'
0.0023 [NNS] 'advertisers'
0.0023 [NNS] 'shareholders'
0.0023 [NNS] 'violations'
0.0023 [NNS] 'lawyers'
0.0023 [NNS] 'times'
0.0022 [NNS] 'employees'
0.0022 [NNS] 'profits'
0.0022 [NNS] 'terms'
0.0022 [NNS] 'researchers'
0.0022 [NNS] 'conditions'
0.0022 [NNS] 'computers'
0.002 [NNS] 'drugs'
0.002 [NNS] 'holders'
0.002 [NNS] 'regulators'
0.002 [NNS] 'scores'
0.002 [NNS] 'teachers'
0.002 [NNS] 'concerns'
0.002 [NNS] 'fields'
0.002 [NNS] 'charges'
0.002 [NNS] 'risks'
0.0018 [NNS] 'ratings'
0.0018 [NNS] 'efforts'
0.0018 [NNS] 'acquisitions'
0.0018 [NNS] 'answers'
0.0018 [NNS] 'assets'
0.0018 [NNS] 'makers'
0.0018 [NNS] 'men'
0.0018 [NNS] 'results'
0.0018 [NNS] 'goods'
0.0018 [NNS] 'increases'
0.0018 [NNS] 'farmers'
0.0018 [NNS] 'states'
0.0018 [NNS] 'buyers'
0.0017 [NNS] 'Sales'
0.0017 [NNS] 'guilders'
0.0017 [NNS] 'schools'
